Identifier,StructureData,,,,,
5DTX,"VAPOR DIFFUSION, HANGING DROP",293,8.1,"0.1 M HEPES, 1.7 M ammonium sulphate",2.02,39.16
5DU0,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"0.1 M Tris, 20% PEG3350",2.27,45.83
6YLS,"VAPOR DIFFUSION, HANGING DROP",291,5,"PEG 6000, tri-sodium citrate",2.12,42.01
2OKY,"VAPOR DIFFUSION, HANGING DROP",298,6.5,"32% PEG 8000, 100mM PIPES, 200mM ammonium sulfate, pH 6.5, VAPOR DIFFUSION, HANGING DROP",2.11,41.61
4NDK,"VAPOR DIFFUSION, HANGING DROP",298,4.6,"0.1 M sodium chloride, 12% v/v 2-propanol, 0.1 M sodium acetate, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.85,56.83
5JZL,"VAPOR DIFFUSION, SITTING DROP",281,,"22% w/v PEG 8000, 0.2 M sodium chloride, 0.1 M phosphate-citrate buffer pH 3.7, 4% v/v acetone",2.5,50.88
2Q6P,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"PEG 8000, pH 6.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.15,42.92
4GES,VAPOR DIFFUSION,289,8.9,"60~100mg/ml protein  sample  in 50 mM Hepes, pH 7.5, reservior solution:16~19% PEG 3000, 100mM Tris pH 8.9,0.2M calcium acetate, VAPOR DIFFUSION, temperature 289K",2.04,39.65
3LA1,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"30% PEG 4000, 0.1M TRIS-HCL PH 8.5, 0.2M LI2SO4, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.08,40.77
3S05,"VAPOR DIFFUSION, SITTING DROP",289,8.5,"0.2M Magnesium Chloride hexahydrate, 0.1M Tris pH 8.5, 25% w/v Polyethylene glycol 3350, VAPOR DIFFUSION, SITTING DROP, temperature 289K",2.19,43.83
3SRY,"VAPOR DIFFUSION, HANGING DROP",290,5.6,"17% PEG3000, 150 mM sodium acetate, 90 mM magnesium chloride, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.9,35.39
3SS0,"VAPOR DIFFUSION, HANGING DROP",290,5.6,"17% PEG3000, 100 mM sodium acetate, 90 mM magnesium chloride, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.91,35.57
3SSP,"VAPOR DIFFUSION, HANGING DROP",290,5.6,"14% PEG4000, 50 mM sodium acetate, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.91,35.49
5HBD,"VAPOR DIFFUSION, HANGING DROP",298,7.5,"0.1M sodium citrate, 10% MPD, 0.1M HEPES, pH 7.5",2.71,54.55
5HW9,"VAPOR DIFFUSION, HANGING DROP",298,6.5,"10% 1,6-hexanediol, sodium cacodylate pH 6.5, 5 mM magnesium chloride, 200 mM KCl",2.23,44.83
6IR7,"VAPOR DIFFUSION, SITTING DROP",293,,"0.2 M Ammonium Sulfate, 0.1 M MES pH 6.5, 30% PEGMME5000",2.15,42.78
1ZGP,"VAPOR DIFFUSION, SITTING DROP",298,6.5,"PEG 4000, magnesium chloride, citrate, pH 6.5, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.22,44.15
2DD7,"VAPOR DIFFUSION, SITTING DROP",291,10.5,"0.1M CAPS (pH 10.5), 2.2M Ammonium Sulfate, 0.2M NaCl, VAPOR DIFFUSION, SITTING DROP, temperature 291K",4.18,70.59
2VVH,VAPOR DIFFUSION,293,8.4,"CRYSTALLIZATION CONDITIONS: AMMONIUM SULFATE, BICINE, PH 8.4, VAPOR DIFFUSION, TEMPERATURE 293K",2.44,49.12
2VVI,VAPOR DIFFUSION,293,8.4,"CRYSTALLIZATION CONDITIONS: AMMONIUM SULFATE, BICINE, PH 8.4, VAPOR DIFFUSION, TEMPERATURE 293K",2.37,47.78
4R6B,"VAPOR DIFFUSION, HANGING DROP",293,8.1,"2.1M ammonium sulfate, 0.1M Bicine, pH 8.1, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.75,55.25
5DTZ,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"0.1 M Tris, 20% PEG3350",2.28,46.09
5FVI,"VAPOR DIFFUSION, HANGING DROP",293,7,"3 M AMMONIUM SULFATE, 100MM BICINE, PH 8.2, VAPOR DIFFUSION, HANGING DROP, TEMPERATURE 293K",2.7,54.43
6B7R,"VAPOR DIFFUSION, HANGING DROP",277,,"0.1M CHES pH 9.5, 1.0M trisodium citrate",2.12,41.94
6OFL,"VAPOR DIFFUSION, SITTING DROP",295,,"0.15 M ammonium acetate, 30% PEG 3350",1.91,35.59
6OFM,"VAPOR DIFFUSION, HANGING DROP",295,,"0.15 M ammonium acetate, 28% PEG 3350",1.85,33.62
6OFN,"VAPOR DIFFUSION, HANGING DROP",295,,"0.15 M ammonium acetate, 34% PEG 3350",1.67,26.38
6OFO,"VAPOR DIFFUSION, HANGING DROP",277,6.5,"0.1 M MES, pH 6.5, 20% MPD",2.17,43.32
3SSH,"VAPOR DIFFUSION, HANGING DROP",290,5.6,"17% PEG3000, 100 mM sodium acetate, 90 mM magnesium chloride, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.89,34.99
3SSK,"VAPOR DIFFUSION, HANGING DROP",290,5.6,"17% PEG2000, 150 mM sodium acetate, 90 mM magnesium chloride, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.9,35.16
3SSL,"VAPOR DIFFUSION, HANGING DROP",290,5.6,"17% PEG2000, 150 mM sodium acetate, 90 mM magnesium chloride, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.92,35.8
3SST,"VAPOR DIFFUSION, HANGING DROP",290,5.6,"14% PEG4000, 50 mM sodium acetate, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.92,35.85
3SSV,"VAPOR DIFFUSION, HANGING DROP",290,5.6,"18% PEG2000, 50 mM sodium acetate, 90 mM magnesium chloride, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.92,35.96
3SSY,"VAPOR DIFFUSION, HANGING DROP",290,5.6,"22% PEG2000, 50 mM sodium acetate, 90 mM magnesium chloride, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.89,34.98
3SVB,"VAPOR DIFFUSION, HANGING DROP",290,5.4,"10% PEG3000, 150 mM ammonium acetate, pH 5.4, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.9,35.26
3SVC,"VAPOR DIFFUSION, HANGING DROP",290,4.6,"20% PEG2000, 50 mM sodium acetate, 90 mM magnesium chloride, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.82,32.4
3SVD,"VAPOR DIFFUSION, HANGING DROP",290,4.6,"21% PEG2000, 50 mM sodium acetate, 90 mM magnesium chloride, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.81,32.14
3SVE,"VAPOR DIFFUSION, HANGING DROP",290,5.6,"18% PEG2000, 50 mM sodium acetate, 90 mM magnesium chloride, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 290K",1.89,34.91
4KW8,hanging drop,294,8.2,"50 mM HEPES pH 8.2, 50 mM MgCl2, 22% PEG4000, hanging drop, temperature 294K",1.98,37.94
4KW9,hanging drop,294,8.2,"50 mM HEPES pH 8.2, 50 mM MgCl2, 22% PEG4000, hanging drop, temperature 294K",2.8,56.02
5HGE,"VAPOR DIFFUSION, HANGING DROP",298,7.5,"30% MPD, 20% ethanol, 20 mM HEPES, pH 7.5, 10 mM NaCl",1.92,36.08
5N9O,"VAPOR DIFFUSION, SITTING DROP",288,6,"2-propanol , 
MES monohydrate,
PEG 2000",2.21,44.3
1C4F,"VAPOR DIFFUSION, HANGING DROP",,4.6,"10-13% PEG 3400, 100MM SODIUM ACETATE AND 100 MM AMMONIUM ACETATE, pH 4.6, VAPOR DIFFUSION, HANGING DROP",2.1,41.34
2ICR,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"1.6 M (NH4)2SO4, 0.2 M K/Na TARTRATE, 0.1 M TRIS-HCL, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.16,50.69
2OJK,"VAPOR DIFFUSION, HANGING DROP",293,7,"0.1M Bis-tris propane, 1.8M tri-ammonium citrate, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.93,68.72
3G9A,VAPOR DIFFUSION,293,6.5,"100mM Mes pH 6.5, 30% PEG 8000, 15% Glycerol, VAPOR DIFFUSION, temperature 293K",2.34,47.5
3K1K,"VAPOR DIFFUSION, HANGING DROP",293,4.6,"60% MPD, 100MM NAAC PH 4.6, 10MM CACL2, VAPOR DIFFUSION, HANGING DROP, temperature 293K",3.12,60.52
1MOV,"VAPOR DIFFUSION, HANGING DROP",293,8,"peg, tris, pH 8, VAPOR DIFFUSION, HANGING DROP, temperature 293K",,
4AR7,,,6.5,"6 MG/ML PROTEIN, 15% PEG8000, 100 MM MGCL2, 100 MM HEPES PH 6.50",2.1,41
4GF6,VAPOR DIFFUSION,289,8.9,"60~100mg/ml protein sample in 50 mM Hepes, pH 7.5, reservior solution:17~19% PEG 3000, 100mM Tris pH 8.9,0.2M calcium acetate , VAPOR DIFFUSION, temperature 289K",2.1,41.41
6PFR,"VAPOR DIFFUSION, HANGING DROP",298,8.1,"1.76 M ammonium sulfate, 0.1 M HEPES; Cryoprotectant 1 M sucrose, 1.7 M ammonium sulfate, 0.1 M HEPES.",1.88,34.44
6PFS,"VAPOR DIFFUSION, HANGING DROP",298,8.1,"1.76 M ammonium sulfate, 0.1 M HEPES; Cryoprotectant 1.6 M sucrose, 2.72 M ammonium sulfate, 0.16 M HEPES.",1.74,29.44
6PFU,"VAPOR DIFFUSION, HANGING DROP",298,8.1,"1.76 M ammonium sulfate, 0.1 M HEPES; Cryoprotectant 1.6 M sucrose, 2.72 M ammonium sulfate, 0.16 M HEPES.",1.75,29.6
6YLN,"VAPOR DIFFUSION, HANGING DROP",298,,"PEG 8000, HEPES, Magnesium chloride",2.12,42.01
1ZGO,"VAPOR DIFFUSION, SITTING DROP",298,7,"MPD, HEPES, pH 7, VAPOR DIFFUSION, SITTING DROP, temperature 298K",1.92,35.34
1ZGQ,"VAPOR DIFFUSION, SITTING DROP",298,4.2,"PEG 8000, sodium chloride, phosphate-citrate, pH 4.2, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.52,50.89
2IE2,"VAPOR DIFFUSION, HANGING DROP",293,7.4,"23% PEG 3350, 0.1M Tris, 0.1M Magnesium Chloride, pH 7.4, VAPOR DIFFUSION, HANGING DROP, temperature 293K",1.99,38.31
5FVF,"VAPOR DIFFUSION, HANGING DROP",293,7,"3 M AMMONIUM SULFATE, 100MM BICINE, PH 8.2, VAPOR DIFFUSION, HANGING DROP, TEMPERATURE 293K",2.7,54.43
5FVG,"VAPOR DIFFUSION, HANGING DROP",293,7,"3 M AMMONIUM SULFATE, 100MM BICINE, PH 8.2, VAPOR DIFFUSION, HANGING DROP, TEMPERATURE 293K",2.7,54.43
5OQ9,BATCH MODE,293,,"0.2 M lithium sulfate, 
0.1 M Tris-Cl pH 8.5, 
23-30% PEG 3350,",2.31,46.83
5OQA,BATCH MODE,293,,"0.2 M lithium sulfate, 
0.1 M Tris-Cl pH 8.5, 
23-30% PEG 3350",2.31,46.83
5OQE,BATCH MODE,293,,"0.2 M lithium sulfate
0.1 M Tris-Cl pH 8.5
23-30% PEG 3350",2.28,45.98
6AS9,"VAPOR DIFFUSION, HANGING DROP",277,5,"0.1 M sodium acetate, pH 5.0 and 65% (v/v) 2-methyl-2,4-pentanediol",2.06,40.18
1EMC,"VAPOR DIFFUSION, HANGING DROP",,8,"PROTEIN WAS CRYSTALLIZED BY HANGING DROP METHOD. PROTEIN SOLUTION: 14 MG/ML IN 20 MM KPO4, PH 7.0 WELL SOLUTION: 60% MPD, 50MM TRISCL, PH 8.0 PROTEIN:WELL 1:1, vapor diffusion - hanging drop",2.25,47
1EME,"VAPOR DIFFUSION, HANGING DROP",,8.5,"PROTEIN WAS CRYSTALLIZED BY HANGING DROP METHOD. PROTEIN SOLUTION: 13 MG/ML IN 20 MM TRIS/HCL WELL SOLUTION: 1.8 M AS, 100 MM TRIS/HCL, PH 8.5 PROTEIN:WELL 1:1, vapor diffusion - hanging drop",4.2,71
1EMF,"VAPOR DIFFUSION, HANGING DROP",,8.5,"PROTEIN WAS CRYSTALLIZED BY HANGING DROP METHOD. PROTEIN SOLUTION: 21 MG/ML IN 20 MM TRIS/HCL WELL SOLUTION: 2.1 M AS, 100 MM TRIS/HCL, PH 8.5 PROTEIN:WELL 1:1, vapor diffusion - hanging drop",4.2,71
1EMK,"VAPOR DIFFUSION, HANGING DROP",,8.5,"PROTEIN WAS CRYSTALLIZED BY HANGING DROP METHOD. PROTEIN SOLUTION: 17 MG/ML IN 20 MM TRISCL WELL SOLUTION: 1.95 M AS, 100MM TRISCL, PH 8.5 PROTEIN:WELL 1:1, vapor diffusion - hanging drop",2.8,57
1EML,"VAPOR DIFFUSION, HANGING DROP",,8.5,"PROTEIN WAS CRYSTALLIZED BY HANGING DROP METHOD. PROTEIN SOLUTION: 17 MG/ML IN 20 MM TRISCL WELL SOLUTION: 2.0 M AS, 100 MM TRISCL, PH 8.5 (HAMPTON SCREEN I, SOLUTION 4) PROTEIN:WELL 1:1, vapor diffusion - hanging drop",2.8,57
1EMM,"VAPOR DIFFUSION, HANGING DROP",,8.5,"PROTEIN WAS CRYSTALLIZED BY HANGING DROP METHOD. PROTEIN SOLUTION: 13 MG/ML IN 20 MM K-PO4, PH 7.0 WELL SOLUTION: 1.95 M AS, 100 MM TRIS/HCL, PH 8.5 PROTEIN:WELL 1:1, vapor diffusion - hanging drop",2.8,57
2EMD,"VAPOR DIFFUSION, HANGING DROP",,8.5,"PROTEIN WAS CRYSTALLIZED BY HANGING DROP METHOD. PROTEIN SOLUTION: 21 MG/ML IN 20 MM TRIS/HCL WELL SOLUTION: 2.1 M AS, 100 MM TRIS/HCL, PH 8.5 PROTEIN:WELL 1:1, vapor diffusion - hanging drop",4.2,71
2EMN,"VAPOR DIFFUSION, HANGING DROP",,8.5,"PROTEIN WAS CRYSTALLIZED BY HANGING DROP METHOD. PROTEIN SOLUTION: 21 MG/ML IN 20 MM TRIS/HCL, PH 8.0. WELL SOLUTION: 2.1 M AS, 100 MM TRIS/HCL, PH 8.5. PROTEIN:WELL 1:1., vapor diffusion - hanging drop",2.8,57
2EMO,"VAPOR DIFFUSION, HANGING DROP",,8.5,"PROTEIN WAS CRYSTALLIZED BY HANGING DROP METHOD. PROTEIN SOLUTION: 21 MG/ML IN 20 MM TRIS/HCL, PH 8.0 WELL SOLUTION: 1.95 M AS, 100 MM TRIS HCL, PH 8.5 PROTEIN:WELL 1:1, vapor diffusion - hanging drop",2.8,57
4H47,"VAPOR DIFFUSION, HANGING DROP",293,5.2,"30% PEG 4000, 0.1M Sodium Acetate, 0.2M Lithium sulfate, pH 5.2, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.11,41.7
4H48,"VAPOR DIFFUSION, HANGING DROP",293,7,"30% PEG 4000, 0.1M Tris-HCl, 0.2M Lithium sulfate, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",2.09,41.15
4ZIN,VAPOR DIFFUSION,291,8,Sitting drop,2.24,45.06
6QQ8,"VAPOR DIFFUSION, HANGING DROP",293,7,"100mM HEPES pH 7.0, 12% PEG8000, 100mM MgCl2",2.1,41.55
6QQA,"VAPOR DIFFUSION, HANGING DROP",293,7,"15% PEG 8000, 0.1M MGCL2, 0.1 M HEPES PH 7.0",2.26,45.67
6QQB,"VAPOR DIFFUSION, HANGING DROP",293,7,"15% PEG 8000, 0.1M MGCL2, 0.1 M HEPES",2.18,43.52
2B3P,VAPOR DIFFUSION,298,7.5,"Hepes-NaOH, sodium acetate, cadmium sulfate, pH 7.5, VAPOR DIFFUSION, temperature 298K",2.92,57.92
3AI5,"VAPOR DIFFUSION, SITTING DROP",293,8,"1% Tryptone, 20% PEG 3350, pH 8.0, VAPOR DIFFUSION, SITTING DROP, temperature 293.0K",2.34,47.41
2DUE,"VAPOR DIFFUSION, HANGING DROP",298,10,"100mM MgCl2, 100mM CHES pH 10, 26% PEG 4000, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.94,40.53
2DUF,"VAPOR DIFFUSION, HANGING DROP",298,5.6,"100mM MgCl2, 100mM NaOAc pH 5.6, 26% PEG 4000, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.06,40.16
2DUG,"VAPOR DIFFUSION, HANGING DROP",298,5,"50mM Li2SO4, 100mM Acetate pH 9.5, 30% PEG 4000, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.05,39.96
2DUH,"VAPOR DIFFUSION, HANGING DROP",298,9.5,"50mM Li2SO4, 100mM TRIS pH 9.5, 30% PEG 4000, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.88,39.96
2DUI,"VAPOR DIFFUSION, HANGING DROP",298,9,"100mM MgCl2, 100mM Tris pH 8.5, 30% PEG 1550, pH 9, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.86,39.21
5DPI,"VAPOR DIFFUSION, SITTING DROP",298,7.5,"0.2 M potassium sodium formate, 30% PEG 3350",2.7,54.51
5DPJ,"VAPOR DIFFUSION, SITTING DROP",298,7,"22% PEG 3350 and 0.20 M sodium citrate tribasic, pH 7",2.19,43.88
6L27,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1 M MES-NaOD (pD 7.0), 5.0 % w/v PEG 2000 and 50 mM NDSB",2.12,41.93
6OG8,"VAPOR DIFFUSION, HANGING DROP",295,5,"50 mM sodium acetate, pH 5.0, 100 mM NaCl, 25% PEG 3350",1.89,34.85
6OG9,"VAPOR DIFFUSION, HANGING DROP",295,5,"50 mM sodium acetate, pH 5.0, 100 mM NaCl, 25% PEG 3350",1.9,35.24
6OGC,"VAPOR DIFFUSION, HANGING DROP",295,5,"50 mM sodium acetate, pH 5.0, 100 mM NaCl, 7-8% PEG 3350",1.92,35.98
6PFT,"VAPOR DIFFUSION, HANGING DROP",298,8.1,"1.76 M ammonium sulfate, 0.1 M HEPES; Cryoprotectant 1 M sucrose, 1.7 M ammonium sulfate, 0.1 M HEPES.",2,38.57
2IB5,"VAPOR DIFFUSION, HANGING DROP",295,7.5,"0.2M NaH2PO4, 20mM Tris-HCl, 150mM NaCl, 20% PEG3350, 20% glycerol, 2mM TCEP, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.14,42.6
2OKW,"VAPOR DIFFUSION, HANGING DROP",298,6.5,"100mM Pipes, 30% PEG 8000, 200mM Na-acetate, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.6,52.75
6OFK,"VAPOR DIFFUSION, HANGING DROP",295,,"0.15 M ammonium acetate, 34% PEG 3350",1.91,35.51
4ZF3,"VAPOR DIFFUSION, HANGING DROP",298,5,"50 mM sodium acetate, 100 mM NaCl, 5% (wt/vol) PEG 3550",,
4ZF4,"VAPOR DIFFUSION, HANGING DROP",298,5,"50 mM sodium acetate, 100 mM NaCl, 15% (wt/vol) PEG 3550",1.89,34.83
4ZF5,"VAPOR DIFFUSION, HANGING DROP",298,5,"50 mM sodium acetate, 100 mM NaCl, 5% (wt/vol) PEG 3550",,
7A7M,"VAPOR DIFFUSION, SITTING DROP",293,,"150 mM KBr
30 % PEG 2000 mme",2,38.46
7A7N,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MMT pH 5.0
25 % PEG 1500",1.99,38.29
7A7O,"VAPOR DIFFUSION, SITTING DROP",293,,"200 mM Ammonium acetate
100 mM Bis-tris pH 5.5
25 % PEG 3350",2.62,53.03
7A7S,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MIB pH 4.0
25 % PEG 1500",2.1,41.4
7A7T,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MIB pH 4.0
25 % PEG 1500",2.19,43.96
7A7U,"VAPOR DIFFUSION, SITTING DROP",293,,"2.0 M (NH4)2SO4
200 mM NaCl
100 mM Na-cacodylate pH 6.5",3.03,59.35
7A7X,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MMT pH 8.0
25 % PEG 1500",2.04,39.82
7A7Z,"VAPOR DIFFUSION, SITTING DROP",293,,"200 mM (Li)2SO4
100 mM Tris pH 8.5
40 % PEG 400",2.7,54.43
7A81,"VAPOR DIFFUSION, SITTING DROP",293,,"200 mM NaCl
100 mM MES pH 6.0
20 % PEG 6000
4% 2,2,2-trifluoroethanol",2.67,53.88
7A82,"VAPOR DIFFUSION, SITTING DROP",293,,"200 mM NaCl
100 mM MES pH 6.0
20 % PEG 6000
200 mM NDSB-211",2.7,54.47
7A84,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MES pH 6.0
14 % PEG 400
300 mM NGSB-195",2.71,54.65
7A89,"VAPOR DIFFUSION, SITTING DROP",293,,"22 % PEG 4000
140 mM Mg(NO3)2",2.49,50.66
7A8A,"VAPOR DIFFUSION, SITTING DROP",293,,"200 mM NaCl
100 mM MES pH 6.0
20 % PEG 6000",2.67,53.9
7A8B,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MES pH 6.0
14 % PEG 4000",2.58,52.28
7A8D,"VAPOR DIFFUSION, SITTING DROP",291,,"200 mM NH4F
20 % PEG 3350",2.63,53.29
7A8E,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM HEPES pH 7.5
25 % PEG 4000",2.68,54.16
7A8F,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM HEPES pH 7.5
25 % PEG 4000",2.71,54.59
7A8I,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM Bis-tris pH 6.5
20 % PEG 5000 mme",2.24,45.13
7A8L,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MES pH 6.5
25 % PEG 3000",2.61,52.94
7A8M,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MES pH 6.0
20 % PEG 2000 mme
10 mM BaCl2",2.65,53.53
7A8N,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM HEPES pH 7.5
25 % PEG 8000",2.68,54.07
2C9J,,,8.5,"30% PEG 4000, 0.1M TRIS PH 8.5, 0.2M MAGNESIUM CHLORIDE",1.79,30.68
3ADF,"VAPOR DIFFUSION, SITTING DROP",293,5.5,"0.1M Bis-Tris, 22% PEG 3350, 0.2M ammonium sulfate, pH 5.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.07,40.59
5DPG,"VAPOR DIFFUSION, SITTING DROP",298,6.5,"22% PEG 3350, 2% Tacsimate pH 6, 0.1 M Bis-Tris pH 6.5",2.04,39.81
5EHU,"VAPOR DIFFUSION, SITTING DROP",298,7.5,"A 40 mg/mL solution of sfGFP-149-AePhe in a 20 mM Hepes buffer pH 7.5 was combined with a precipitation solution (20% PEG 8000, 100 mM Hepes pH 7.5) in a 1:1 ratio to form crystals in a sitting drop well at room temperature",1.99,38.08
5Y8Q,"VAPOR DIFFUSION, HANGING DROP",295.5,,Tris,2.12,42
5Y8R,"VAPOR DIFFUSION, HANGING DROP",295.5,,"Na-citrate, NaCl",3.14,60.86
7CD7,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"15% (w/v) PEG 4000, 200 mM MgCl2, 0.1 M Tris-HCl, pH 8.5",2.4,48.66
7CD8,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"5.5% (w/v) PEG 8000, 5% (v/v) ethylene glycol, 50 mM [Co(NH3)6]Cl3, 0.1 M HEPES-Na, pH 7.5",2.64,53.42
2HQK,"VAPOR DIFFUSION, HANGING DROP",295,5.1,"Mixed 2 uL of protein (56 mg/mL) with 2 uL of well solution. 
Protein buffer: 20 mM Hepes pH 7.9, 300 mM NaCl.
Well solution: 10% Ethanol, 0.1 M Sodium acetate, pH 5.1, and 65 mM Zinc Acetate, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.07,40.64
2IB6,"VAPOR DIFFUSION, HANGING DROP",295,7.5,"0.2M NaH2PO4, 20mM Tris-HCl, 150mM NaCl, 20% PEG3350, 20% glycerol, 2mM TCEP, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.15,42.69
4KA9,VAPOR DIFFUSION,291,7,"0.1 M HEPES, 0.01 M ZnCl2, 20% (w/v) PEG 6000, pH 7.0, vapor diffusion, temperature 291K",2.44,49.61
2YE1,,,7,"35 MG/ML PROTEIN, 14% PEG8000, 100 MM MGCL2, 100 MM HEPES PH 7.00",2,38
4W69,"VAPOR DIFFUSION, HANGING DROP",298,,"0.4M MgFormate, 0.1M Acetate pH 4.6, 2%w/v benzamidine",3.71,66.84
4W6A,"VAPOR DIFFUSION, HANGING DROP",298,4.6,"2.0M NaFormate, 0.1M Na Acetate pH 4.6",2.89,57.45
4W6C,"VAPOR DIFFUSION, HANGING DROP",298,8,"35% MPD, 0.1M Imidazole pH 8.0, 0.2M MgCl2",2.62,53.11
4W6G,"VAPOR DIFFUSION, HANGING DROP",298,4.5,"20% 1,4-Butanediol, 0.1M Acetate pH 4.5",3.12,60.58
4W6H,"VAPOR DIFFUSION, HANGING DROP",298,8,"0.1M SPG Buffer pH8.0,25% PEG-1500",3.25,62.2
4W6I,"VAPOR DIFFUSION, HANGING DROP",298,7.4,"1.4M MgSO4, 0.1M BTP pH 7.4",2.72,54.8
4W6K,"VAPOR DIFFUSION, HANGING DROP",298,4.6,"0.5M KSCN, 0.1M NaAcetate pH 4.6",2.59,52.45
4W6L,"VAPOR DIFFUSION, HANGING DROP",298,5,"1.5M NaNO3, 0.1M NaAcetate pH 5.0",2.78,55.76
4W6N,"VAPOR DIFFUSION, HANGING DROP",298,6.5,"10% PEG6000, 0.1M Hepes pH 6.5",2.38,48.4
4W6O,"VAPOR DIFFUSION, HANGING DROP",298,8.5,"20% PEG6000, 0.1M Bicine pH 8.5",2.93,57.95
4W6P,"VAPOR DIFFUSION, HANGING DROP",298,5,"1.3M NaNO3, 0.1M NaAcetate pH 5.0",2.47,50.23
4W7X,"VAPOR DIFFUSION, HANGING DROP",298,4.5,"1.0 M (NH4)2HPO4, acetate pH 4.5",2.64,53.32
5BQL,"VAPOR DIFFUSION, SITTING DROP",291,,"0.2 M sodium chloride, 0.1M HEPES pH 7.5, 25% PEG 3350",2.29,46.2
5T3I,"VAPOR DIFFUSION, SITTING DROP",293,5,"16% (w/v) PEG 3350, 50 mM citric acid, and 50 mM bis-tris propane buffer pH 5.0.",2.07,40.61
7A7K,"VAPOR DIFFUSION, SITTING DROP",293,,"200 mM (NH4)SO4
100 mM Bis-trip pH 5.5
25 % PEG 3350",2.16,43.11
7A7L,"VAPOR DIFFUSION, SITTING DROP",293,,"2.0 M (NH4)2SO4
200 mM K/Na-tartrate
100 mM citrate pH 5.0
100 mM b-Nicotinamide adenine dinucleotide",2.15,42.77
7A7P,"VAPOR DIFFUSION, SITTING DROP",293,,"22 % PEG 4000
140 mM Mg(NO3)2",1.99,38.3
7A80,"VAPOR DIFFUSION, SITTING DROP",291,,"26 % PEG 4000
500 mM Mg(NO3)
50 mM HEPES pH 7.5",2.35,47.72
7A83,"VAPOR DIFFUSION, SITTING DROP",293,,"125 mM MES pH 6.0
9 % PEG 4000",2.48,50.44
7A85,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MES pH 6.5
12 % PEG 20 000
10 mM NaBr",2.56,51.99
7A86,"VAPOR DIFFUSION, SITTING DROP",293,,"100 mM MES pH 6.5
12 % PEG 20 000
4 % Pentaerythritol ethoxylate",2.69,54.35
